"Collection Name","Content Note","Title#1","Title Type#1","Name#1","Name URI#1","Resource Type#1","Resource Type URI#1","Genre#1","Genre URI#1","Genre#2","Genre URI#2","Date Created#1","Language Term#1","Language Term URI#1","Language Term Type#1","Extent#1","Form#1","Form URI#1","Abstract#1","Note#1","Subject Topic#1","Subject Topic URI#1","Subject Topic#2","Subject Topic URI#2","Subject Topic#3","Subject Topic URI#3","Subject Topic#4","Subject Topic URI#4","Subject Topic#5","Subject Topic URI#5","Subject Topic#6","Subject Topic URI#6","Subject Topic#7","Subject Topic URI#7","Subject Name#1","Subject Name URI#1","Subject Name#2","Subject Name URI#2","Subject Name#3","Subject Name URI#3","Subject Name#4","Subject Name URI#4","Subject Geographic#1","Subject Geographic URI#1","Identifier#1","Identifier ARK#1","Shelf Locator#1","Related Item#1","Related Item Type#1","Related Item Identifier#1","Date Captured#1","Internet Media Type#1","Internet Media Type URI#1","Digital Origin#1","Access Condition#1","Access Condition URI#1","ln_RECORDID","ln_MEDIAID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"Raging Grannies of Denver Collection","","Correspondence - External","Proper","","","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","local histories","http://vocab.getty.edu/page/aat/300251993","electronic mail","http://vocab.getty.edu/page/aat/300149026","2003/2007","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","23 pages","correspondence","http://vocab.getty.edu/page/aat/300026877","A variety of external emails between The Raging Grannies of Denver and Raging Grannies from other state and country chapters. The correspondence topics include website creation information, thank you's for performances, networking, and performance requests.","","Women--Political activity","http://id.worldcat.org/fast/1734136","Protest movements","http://id.worldcat.org/fast/1079826","Special events--Planning","http://id.worldcat.org/fast/1128927","Social networks","http://id.worldcat.org/fast/1122678","Peace movements","http://id.worldcat.org/fast/1055858","","","","","Raging Grannies","http://id.loc.gov/authorities/names/no2004089390","","","","","","","Denver (Denver, Colorado, United States, North America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013545","narv_ragingGranniesOfDenver_01_05_correspondenceExternal.pdf","https://ark.colorado.edu/ark:/47540/p38t6r0617vd","box 1 | folder 5","","","","2025","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","6","1254886","5371","narv_ragingGranniesOfDenver_01_05_correspondenceExternal.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~53~53~6~1254886"
"Raging Grannies of Denver Collection","","Correspondence - Internal (2002)","Proper","","","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","local histories","http://vocab.getty.edu/page/aat/300251993","electronic mail","http://vocab.getty.edu/page/aat/300149026","2002","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","34 pages","correspondence","http://vocab.getty.edu/page/aat/300026877","A variety of internal emails sent between the Raging Grannies of Denver regarding song ideas, meeting information, gigs, and rehearsals in 2002.","","Women--Political activity","http://id.worldcat.org/fast/1734136","Protest movements","http://id.worldcat.org/fast/1079826","Special events--Planning","http://id.worldcat.org/fast/1128927","Social networks","http://id.worldcat.org/fast/1122678","Peace movements","http://id.worldcat.org/fast/1055858","","","","","Raging Grannies","http://id.loc.gov/authorities/names/no2004089390","","","","","","","Denver (Denver, Colorado, United States, North America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013545","narv_ragingGranniesOfDenver_01_06_correspondenceInternal2002.pdf","https://ark.colorado.edu/ark:/47540/6h8c5m30z46f","box 1 | folder 6","","","","2025","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","7","1254884","5371","narv_ragingGranniesOfDenver_01_06_correspondenceInternal2002.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~53~53~7~1254884"
"Raging Grannies of Denver Collection","","Correspondence - Internal (2003)","Proper","","","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","local histories","http://vocab.getty.edu/page/aat/300251993","electronic mail","http://vocab.getty.edu/page/aat/300149026","2003","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","120 pages","correspondence","http://vocab.getty.edu/page/aat/300026877","A variety of internal emails sent between the Raging Grannies of Denver regarding song ideas, meeting information, gigs, and rehearsals in 2003.","","Women--Political activity","http://id.worldcat.org/fast/1734136","Protest movements","http://id.worldcat.org/fast/1079826","Special events--Planning","http://id.worldcat.org/fast/1128927","Social networks","http://id.worldcat.org/fast/1122678","Peace movements","http://id.worldcat.org/fast/1055858","","","","","Raging Grannies","http://id.loc.gov/authorities/names/no2004089390","","","","","","","Denver (Denver, Colorado, United States, North America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013545","narv_ragingGranniesOfDenver_01_07_correspondenceInternal2003.pdf","https://ark.colorado.edu/ark:/47540/st7f1323j9xj","box 1 | folder 7","","","","2025","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","8","1254882","5371","narv_ragingGranniesOfDenver_01_07_correspondenceInternal2003.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~53~53~8~1254882"
"Raging Grannies of Denver Collection","","Correspondence - Internal (2004)","Proper","","","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","local histories","http://vocab.getty.edu/page/aat/300251993","electronic mail","http://vocab.getty.edu/page/aat/300149026","2004","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","169 pages","correspondence","http://vocab.getty.edu/page/aat/300026877","A variety of internal emails sent between the Raging Grannies of Denver regarding song ideas, meeting information, gigs, and rehearsals in 2004.","","Women--Political activity","http://id.worldcat.org/fast/1734136","Protest movements","http://id.worldcat.org/fast/1079826","Special events--Planning","http://id.worldcat.org/fast/1128927","Social networks","http://id.worldcat.org/fast/1122678","Peace movements","http://id.worldcat.org/fast/1055858","","","","","Raging Grannies","http://id.loc.gov/authorities/names/no2004089390","","","","","","","Denver (Denver, Colorado, United States, North America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013545","narv_ragingGranniesOfDenver_01_08_correspondenceIntra2004.pdf","https://ark.colorado.edu/ark:/47540/2z4t1v27v02h","box 1 | folder 8","","","","2025","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","9","1254880","5371","narv_ragingGranniesOfDenver_01_08_correspondenceIntra2004.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~53~53~9~1254880"
"Raging Grannies of Denver Collection","","Correspondence - Internal (2005)","Proper","","","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","local histories","http://vocab.getty.edu/page/aat/300251993","electronic mail","http://vocab.getty.edu/page/aat/300149026","2005","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","37 pages","correspondence","http://vocab.getty.edu/page/aat/300026877","A variety of internal emails sent between the Raging Grannies of Denver regarding song ideas, meeting information, gigs, and rehearsals in 2005.","","Women--Political activity","http://id.worldcat.org/fast/1734136","Protest movements","http://id.worldcat.org/fast/1079826","Special events--Planning","http://id.worldcat.org/fast/1128927","Social networks","http://id.worldcat.org/fast/1122678","Peace movements","http://id.worldcat.org/fast/1055858","","","","","Raging Grannies","http://id.loc.gov/authorities/names/no2004089390","","","","","","","Denver (Denver, Colorado, United States, North America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013545","narv_ragingGranniesOfDenver_01_09_correspondenceInternal2005.pdf","https://ark.colorado.edu/ark:/47540/4b7c5v17n18h","box 1 | folder 9","","","","2025","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","10","1254878","5371","narv_ragingGranniesOfDenver_01_09_correspondenceInternal2005.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~53~53~10~1254878"
"Raging Grannies of Denver Collection","","Correspondence - Internal (2006)","Proper","","","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","local histories","http://vocab.getty.edu/page/aat/300251993","electronic mail","http://vocab.getty.edu/page/aat/300149026","2006","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","137 pages","correspondence","http://vocab.getty.edu/page/aat/300026877","A variety of internal emails sent between the Raging Grannies of Denver regarding song ideas, meeting information, gigs, and rehearsals in 2006.","","Women--Political activity","http://id.worldcat.org/fast/1734136","Protest movements","http://id.worldcat.org/fast/1079826","Special events--Planning","http://id.worldcat.org/fast/1128927","Social networks","http://id.worldcat.org/fast/1122678","Peace movements","http://id.worldcat.org/fast/1055858","","","","","Raging Grannies","http://id.loc.gov/authorities/names/no2004089390","","","","","","","Denver (Denver, Colorado, United States, North America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013545","narv_ragingGranniesOfDenver_01_10_correspondenceInternal2006.pdf","https://ark.colorado.edu/ark:/47540/8g8t8r65p969","box 1 | folder 10","","","","2025","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","11","1254876","5371","narv_ragingGranniesOfDenver_01_10_correspondenceInternal2006.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~53~53~11~1254876"
"Raging Grannies of Denver Collection","","Correspondence - Internal (2007)","Proper","","","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","local histories","http://vocab.getty.edu/page/aat/300251993","electronic mail","http://vocab.getty.edu/page/aat/300149026","2007","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","133 pages","correspondence","http://vocab.getty.edu/page/aat/300026877","A variety of internal emails sent between the Raging Grannies of Denver regarding song ideas, meeting information, gigs, and rehearsals in 2007.","","Women--Political activity","http://id.worldcat.org/fast/1734136","Protest movements","http://id.worldcat.org/fast/1079826","Special events--Planning","http://id.worldcat.org/fast/1128927","Social networks","http://id.worldcat.org/fast/1122678","Peace movements","http://id.worldcat.org/fast/1055858","","","","","Raging Grannies","http://id.loc.gov/authorities/names/no2004089390","","","","","","","Denver (Denver, Colorado, United States, North America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013545","narv_ragingGranniesOfDenver_01_11_correspondenceInternal2007.pdf","https://ark.colorado.edu/ark:/47540/8q082q60p4w3","box 1 | folder 11","","","","2025","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","12","1254874","5371","narv_ragingGranniesOfDenver_01_11_correspondenceInternal2007.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~53~53~12~1254874"
"Raging Grannies of Denver Collection","","Publicity-Clippings","Proper","","","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","local histories","http://vocab.getty.edu/page/aat/300251993","","","[2002/2005]","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","42 pages","clippings (information artifacts)","http://vocab.getty.edu/page/aat/300026867","A variety of newspapers, magazine, and website clippings regarding the Raging Grannies of Denver and their activism.","","Women--Political activity","http://id.worldcat.org/fast/1734136","Protest movements","http://id.worldcat.org/fast/1079826","Feminism","http://id.worldcat.org/fast/922671","Peace movements","http://id.worldcat.org/fast/1055858","Anti-war demonstrations","http://id.worldcat.org/fast/1746850","","","","","Raging Grannies","http://id.loc.gov/authorities/names/no2004089390","","","","","","","Denver (Denver, Colorado, United States, North America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013545","narv_ragingGranniesOfDenver_01_15_publicityClippings.pdf","https://ark.colorado.edu/ark:/47540/hd1x7b35b971","box 1 | folder 15","","","","2025","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","15","1254868","5371","narv_ragingGranniesOfDenver_01_15_publicityClippings.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~53~53~15~1254868"
"Raging Grannies of Denver Collection","","Publicity-Flyers","Proper","","","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","local histories","http://vocab.getty.edu/page/aat/300251993","","","[2003/2005]","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","51 pages","fliers (printed matter)","http://vocab.getty.edu/page/aat/300224742","A variety of Raging Grannies of Denver fliers that advertise their shows, workshops, events, and their CD's.","","Women--Political activity","http://id.worldcat.org/fast/1734136","Protest movements","http://id.worldcat.org/fast/1079826","Promotional materials","http://id.worldcat.org/fast/1982512","Feminism","http://id.worldcat.org/fast/922671","Peace movements","http://id.worldcat.org/fast/1055858","Anti-war demonstrations","http://id.worldcat.org/fast/1746850","","","Raging Grannies","http://id.loc.gov/authorities/names/no2004089390","","","","","","","Denver (Denver, Colorado, United States, North America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013545","narv_ragingGranniesOfDenver_01_14_publicityFliers.pdf","https://ark.colorado.edu/ark:/47540/2h2n1426c8js","box 1 | folder 14","","","","2025","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","14","1254870","5371","narv_ragingGranniesOfDenver_01_14_publicityFliers.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~53~53~14~1254870"
"Raging Grannies of Denver Collection","","Raging Grannies International","Proper","","","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","international organizations","http://vocab.getty.edu/page/aat/300138724","","","2005","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","4 pages","Web sites","http://vocab.getty.edu/page/aat/300265431","The Raging Grannies' International Website which includes information on the organizationâ€™s philosophy, access to some of their songs, news articles, and other information.","","Women--Political activity","http://id.worldcat.org/fast/1734136","Protest movements","http://id.worldcat.org/fast/1079826","Feminism","http://id.worldcat.org/fast/922671","History","http://id.worldcat.org/fast/1411628","Humor in music","http://id.worldcat.org/fast/963736","Peace movements","http://id.worldcat.org/fast/1055858","","","Raging Grannies","http://id.loc.gov/authorities/names/no2004089390","","","","","","","","","narv_ragingGranniesOfDenver_01_04_rgInternational.pdf","https://ark.colorado.edu/ark:/47540/bx1x9203w867","box 1 | folder 4","","","","2025","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","5","1254856","5371","narv_ragingGranniesOfDenver_01_04_rgInternational.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~53~53~5~1254856"
